step,tag,value
87000,Self-play/ELO,1189.9075927734375
87000,Self-play/ELO,1183.559814453125
87000,Self-play/ELO,1180.187744140625
87000,Self-play/ELO,1184.4298095703125
87000,Self-play/ELO,1184.9390869140625
88000,Self-play/ELO,1189.9075927734375
88000,Self-play/ELO,1183.559814453125
88000,Self-play/ELO,1178.7119140625
88000,Self-play/ELO,1190.00830078125
88000,Self-play/ELO,1184.3701171875
88000,Self-play/ELO,1184.4298095703125
88000,Self-play/ELO,1177.1591796875
88000,Self-play/ELO,1174.2822265625
89000,Self-play/ELO,1190.181640625
89000,Self-play/ELO,1183.559814453125
89000,Self-play/ELO,1176.9951171875
89000,Self-play/ELO,1190.00830078125
89000,Self-play/ELO,1184.318603515625
89000,Self-play/ELO,1184.4298095703125
89000,Self-play/ELO,1184.9390869140625
90000,Self-play/ELO,1190.181640625
90000,Self-play/ELO,1189.4327392578125
90000,Self-play/ELO,1175.53759765625
90000,Self-play/ELO,1190.00830078125
90000,Self-play/ELO,1183.76611328125
90000,Self-play/ELO,1184.4298095703125
90000,Self-play/ELO,1176.23681640625
90000,Self-play/ELO,1184.9390869140625
90000,Self-play/ELO,1174.4102783203125
91000,Self-play/ELO,1190.181640625
91000,Self-play/ELO,1188.958984375
91000,Self-play/ELO,1183.0975341796875
91000,Self-play/ELO,1175.05419921875
91000,Self-play/ELO,1183.6805419921875
91000,Self-play/ELO,1176.0828857421875
91000,Self-play/ELO,1184.9390869140625
92000,Self-play/ELO,1190.181640625
92000,Self-play/ELO,1175.05419921875
92000,Self-play/ELO,1189.2845458984375
92000,Self-play/ELO,1183.052490234375
93000,Self-play/ELO,1190.181640625
93000,Self-play/ELO,1188.98876953125
93000,Self-play/ELO,1183.0975341796875
93000,Self-play/ELO,1183.398193359375
93000,Self-play/ELO,1175.417236328125
93000,Self-play/ELO,1184.9390869140625
93000,Self-play/ELO,1171.66259765625
94000,Self-play/ELO,1188.5181884765625
94000,Self-play/ELO,1183.0975341796875
94000,Self-play/ELO,1175.05419921875
94000,Self-play/ELO,1189.5635986328125
94000,Self-play/ELO,1182.3416748046875
94000,Self-play/ELO,1183.2138671875
94000,Self-play/ELO,1175.417236328125
95000,Self-play/ELO,1190.181640625
95000,Self-play/ELO,1183.2371826171875
95000,Self-play/ELO,1171.414794921875
96000,Self-play/ELO,1190.181640625
96000,Self-play/ELO,1188.5181884765625
96000,Self-play/ELO,1174.65087890625
96000,Self-play/ELO,1181.839599609375
96000,Self-play/ELO,1182.225830078125
96000,Self-play/ELO,1175.417236328125
96000,Self-play/ELO,1184.9390869140625
97000,Self-play/ELO,1190.181640625
97000,Self-play/ELO,1188.5181884765625
97000,Self-play/ELO,1182.7147216796875
97000,Self-play/ELO,1174.728759765625
97000,Self-play/ELO,1181.300537109375
97000,Self-play/ELO,1171.171142578125
98000,Self-play/ELO,1190.181640625
98000,Self-play/ELO,1188.5181884765625
98000,Self-play/ELO,1182.4844970703125
98000,Self-play/ELO,1189.5635986328125
98000,Self-play/ELO,1180.7420654296875
98000,Self-play/ELO,1175.5885009765625
98000,Self-play/ELO,1184.9390869140625
98000,Self-play/ELO,1171.1895751953125
99000,Self-play/ELO,1182.4844970703125
99000,Self-play/ELO,1174.728759765625
99000,Self-play/ELO,1188.60205078125
99000,Self-play/ELO,1180.345458984375
99000,Self-play/ELO,1174.3902587890625
99000,Self-play/ELO,1184.9390869140625
100000,Self-play/ELO,1190.181640625
100000,Self-play/ELO,1188.5687255859375
100000,Self-play/ELO,1182.4844970703125
100000,Self-play/ELO,1174.728759765625
100000,Self-play/ELO,1179.7562255859375
100000,Self-play/ELO,1184.1898193359375
101000,Self-play/ELO,1190.181640625
101000,Self-play/ELO,1182.0091552734375
101000,Self-play/ELO,1174.728759765625
101000,Self-play/ELO,1188.1226806640625
101000,Self-play/ELO,1179.8485107421875
101000,Self-play/ELO,1179.5103759765625
101000,Self-play/ELO,1173.4822998046875
101000,Self-play/ELO,1183.443359375
101000,Self-play/ELO,1171.2119140625
102000,Self-play/ELO,1190.181640625
102000,Self-play/ELO,1182.1256103515625
102000,Self-play/ELO,1188.1226806640625
102000,Self-play/ELO,1180.2540283203125
102000,Self-play/ELO,1173.4822998046875
102000,Self-play/ELO,1182.6990966796875
102000,Self-play/ELO,1171.244384765625
103000,Self-play/ELO,1190.181640625
103000,Self-play/ELO,1182.2154541015625
103000,Self-play/ELO,1174.728759765625
103000,Self-play/ELO,1180.41845703125
103000,Self-play/ELO,1179.5103759765625
103000,Self-play/ELO,1173.4822998046875
103000,Self-play/ELO,1181.9775390625
103000,Self-play/ELO,1170.7828369140625
104000,Self-play/ELO,1190.181640625
104000,Self-play/ELO,1188.641357421875
104000,Self-play/ELO,1174.81494140625
104000,Self-play/ELO,1187.643798828125
104000,Self-play/ELO,1179.5103759765625
104000,Self-play/ELO,1182.0001220703125
104000,Self-play/ELO,1170.798828125
105000,Self-play/ELO,1189.7467041015625
105000,Self-play/ELO,1182.2154541015625
105000,Self-play/ELO,1174.160400390625
105000,Self-play/ELO,1187.166259765625
105000,Self-play/ELO,1180.41845703125
105000,Self-play/ELO,1170.798828125
106000,Self-play/ELO,1188.641357421875
106000,Self-play/ELO,1182.2154541015625
106000,Self-play/ELO,1186.6900634765625
106000,Self-play/ELO,1179.20068359375
106000,Self-play/ELO,1173.4822998046875
106000,Self-play/ELO,1182.0001220703125
106000,Self-play/ELO,1170.30126953125
107000,Self-play/ELO,1172.9610595703125
107000,Self-play/ELO,1180.41845703125
107000,Self-play/ELO,1173.4822998046875
107000,Self-play/ELO,1182.0001220703125
108000,Self-play/ELO,1189.7994384765625
108000,Self-play/ELO,1188.641357421875
108000,Self-play/ELO,1182.2154541015625
108000,Self-play/ELO,1172.0062255859375
108000,Self-play/ELO,1178.558349609375
108000,Self-play/ELO,1173.031005859375
108000,Self-play/ELO,1182.0001220703125
108000,Self-play/ELO,1169.3089599609375
109000,Self-play/ELO,1189.7994384765625
109000,Self-play/ELO,1188.141357421875
109000,Self-play/ELO,1172.16015625
109000,Self-play/ELO,1186.214599609375
109000,Self-play/ELO,1180.41845703125
109000,Self-play/ELO,1182.0001220703125
109000,Self-play/ELO,1169.3089599609375
110000,Self-play/ELO,1189.674560546875
110000,Self-play/ELO,1172.2030029296875
110000,Self-play/ELO,1186.330322265625
110000,Self-play/ELO,1180.41845703125
110000,Self-play/ELO,1177.8260498046875
110000,Self-play/ELO,1169.3089599609375
111000,Self-play/ELO,1188.305908203125
111000,Self-play/ELO,1188.141357421875
111000,Self-play/ELO,1182.2154541015625
111000,Self-play/ELO,1186.533935546875
111000,Self-play/ELO,1180.41845703125
111000,Self-play/ELO,1177.5823974609375
111000,Self-play/ELO,1172.98095703125
111000,Self-play/ELO,1181.25927734375
111000,Self-play/ELO,1169.3089599609375
112000,Self-play/ELO,1186.906005859375
112000,Self-play/ELO,1188.141357421875
